capture_id,trip_id,entity_id,selected,selected_entity_id,duplicate_count,decision
bart_live_20260913_182435,2019573,2019573,True,2019573,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019640,2019640,True,2019640,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019641,2019641,True,2019641,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019642,2019642,True,2019642,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019643,2019643,True,2019643,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019644,2019644,True,2019644,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019645,2019645,True,2019645,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019712,2019712,True,2019712,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019713,2019713,True,2019713,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019714,2019714,True,2019714,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019715,2019715,True,2019715,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019716,2019716,True,2019716,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019743,2019743,True,2019743,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019782,2019782,True,2019782,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019830,2019830,True,2019830,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019831,2019831,True,2019831,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019832,2019832,True,2019832,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019833,2019833,True,2019833,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019834,2019834,True,2019834,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019863,2019863,True,2019863,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019901,2019901,True,2019901,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019990,2019990,True,2019990,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019991,2019991,True,2019991,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019992,2019992,True,2019992,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019993,2019993,True,2019993,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019994,2019994,True,2019994,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2019995,2019995,True,2019995,1,selected_newest_stable_tiebreak
bart_live_20260913_182435,2020029,2020029,True,2020029,1,selected_newest_stable_tiebreak
