capture_id,source_path,request_time,station,prediction_count
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\sanl.xml,2026-09-12T07:16:03-07:00,SANL,13
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\sbrn.xml,2026-09-12T07:16:03-07:00,SBRN,10
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\sfia.xml,2026-09-12T07:16:03-07:00,SFIA,6
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\shay.xml,2026-09-12T07:16:03-07:00,SHAY,6
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\ssan.xml,2026-09-12T07:16:02-07:00,SSAN,11
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\ucty.xml,2026-09-12T07:16:03-07:00,UCTY,3
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\warm.xml,2026-09-12T07:16:03-07:00,WARM,2
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\wcrk.xml,2026-09-12T07:16:03-07:00,WCRK,6
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\wdub.xml,2026-09-12T07:16:03-07:00,WDUB,5
bart_live_20260912_071605,C:\Users\Igor\StudioProjects\BartRunnerAndroid\app\src\test\resources\bart_live_20260912_071605\etd\woak.xml,2026-09-12T07:16:02-07:00,WOAK,17
